route,source,matched_wording,action,reason
/coloring-pages/detailed-for-adults,runtime hub metaDescription,no indexable per-image pages,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/dinosaurs,runtime hub metaDescription,selected from approved production assets,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/dinosaurs,runtime hub metaDescription,no indexable per-image pages,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/dogs,runtime hub metaDescription,selected from approved production assets,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/dogs,runtime hub metaDescription,no indexable per-image pages,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/dungeon,runtime hub metaDescription,selected from approved production assets,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/dungeon,runtime hub metaDescription,no indexable per-image pages,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/easy,runtime hub metaDescription,selected from approved production assets,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/easy,runtime hub metaDescription,no indexable per-image pages,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/fairies,runtime hub metaDescription,selected from approved production assets,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/fairies,runtime hub metaDescription,no indexable per-image pages,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/fantasy,runtime hub metaDescription,selected from approved production assets,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/fantasy,runtime hub metaDescription,no indexable per-image pages,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/fantasy-creatures,runtime hub metaDescription,selected from approved production assets,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/fantasy-creatures,runtime hub metaDescription,no indexable per-image pages,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/fantasy-dragons,runtime hub metaDescription,selected from approved production assets,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/fantasy-dragons,runtime hub metaDescription,no indexable per-image pages,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/flowers,runtime hub metaDescription,selected from approved production assets,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/flowers,runtime hub metaDescription,no indexable per-image pages,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/food,runtime hub metaDescription,selected from approved production assets,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/food,runtime hub metaDescription,no indexable per-image pages,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/for-kids,runtime hub metaDescription,selected from approved production assets,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/for-kids,runtime hub metaDescription,no indexable per-image pages,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/forest,runtime hub metaDescription,selected from approved production assets,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/forest,runtime hub metaDescription,no indexable per-image pages,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/garden,runtime hub metaDescription,selected from approved production assets,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/garden,runtime hub metaDescription,no indexable per-image pages,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/garden-flowers,runtime hub metaDescription,selected from approved production assets,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/garden-flowers,runtime hub metaDescription,no indexable per-image pages,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/geometric,runtime hub metaDescription,selected from approved production assets,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/geometric,runtime hub metaDescription,no indexable per-image pages,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/griffins,runtime hub metaDescription,selected from approved production assets,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/griffins,runtime hub metaDescription,no indexable per-image pages,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/halloween,runtime hub metaDescription,selected from approved production assets,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/halloween,runtime hub metaDescription,no indexable per-image pages,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/holidays,runtime hub metaDescription,selected from approved production assets,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/holidays,runtime hub metaDescription,no indexable per-image pages,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/indoor-plants,runtime hub metaDescription,selected from approved production assets,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/indoor-plants,runtime hub metaDescription,no indexable per-image pages,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/insects,runtime hub metaDescription,selected from approved production assets,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/insects,runtime hub metaDescription,no indexable per-image pages,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/kawaii,runtime hub metaDescription,selected from approved production assets,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/kawaii,runtime hub metaDescription,no indexable per-image pages,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/mammoths,runtime hub metaDescription,selected from approved production assets,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/mammoths,runtime hub metaDescription,no indexable per-image pages,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/mandalas,runtime hub metaDescription,selected from approved production assets,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/mandalas,runtime hub metaDescription,no indexable per-image pages,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/medieval-fantasy,runtime hub metaDescription,selected from approved production assets,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/medieval-fantasy,runtime hub metaDescription,no indexable per-image pages,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/mermaids,runtime hub metaDescription,selected from approved production assets,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/mermaids,runtime hub metaDescription,no indexable per-image pages,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/mythology,runtime hub metaDescription,selected from approved production assets,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/mythology,runtime hub metaDescription,no indexable per-image pages,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/ocean,runtime hub metaDescription,selected from approved production assets,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/ocean,runtime hub metaDescription,no indexable per-image pages,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/octopus,runtime hub metaDescription,selected from approved production assets,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/octopus,runtime hub metaDescription,no indexable per-image pages,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/pegasus,runtime hub metaDescription,selected from approved production assets,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/pegasus,runtime hub metaDescription,no indexable per-image pages,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/planes,runtime hub metaDescription,selected from approved production assets,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/planes,runtime hub metaDescription,no indexable per-image pages,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/plants,runtime hub metaDescription,selected from approved production assets,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/plants,runtime hub metaDescription,no indexable per-image pages,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/playing-cards,runtime hub metaDescription,selected from approved production assets,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/playing-cards,runtime hub metaDescription,no indexable per-image pages,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/plushie-animals,runtime hub metaDescription,selected from approved production assets,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/plushie-animals,runtime hub metaDescription,no indexable per-image pages,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/plushie-dragons,runtime hub metaDescription,selected from approved production assets,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/plushie-dragons,runtime hub metaDescription,no indexable per-image pages,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/plushies,runtime hub metaDescription,selected from approved production assets,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/plushies,runtime hub metaDescription,no indexable per-image pages,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/prehistoric-animals,runtime hub metaDescription,selected from approved production assets,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/prehistoric-animals,runtime hub metaDescription,no indexable per-image pages,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/reptiles,runtime hub metaDescription,selected from approved production assets,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/reptiles,runtime hub metaDescription,no indexable per-image pages,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/sea-life,runtime hub metaDescription,selected from approved production assets,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/sea-life,runtime hub metaDescription,no indexable per-image pages,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/spiders,runtime hub metaDescription,selected from approved production assets,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/spiders,runtime hub metaDescription,no indexable per-image pages,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/st-patricks-day,runtime hub metaDescription,selected from approved production assets,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/st-patricks-day,runtime hub metaDescription,no indexable per-image pages,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/trains,runtime hub metaDescription,selected from approved production assets,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/trains,runtime hub metaDescription,no indexable per-image pages,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/trees,runtime hub metaDescription,selected from approved production assets,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/trees,runtime hub metaDescription,no indexable per-image pages,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/triceratops,runtime hub metaDescription,selected from approved production assets,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/triceratops,runtime hub metaDescription,no indexable per-image pages,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/turtles,runtime hub metaDescription,selected from approved production assets,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/turtles,runtime hub metaDescription,no indexable per-image pages,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/unicorns,runtime hub metaDescription,selected from approved production assets,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/unicorns,runtime hub metaDescription,no indexable per-image pages,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/vehicles,runtime hub metaDescription,selected from approved production assets,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/vehicles,runtime hub metaDescription,no indexable per-image pages,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/whales,runtime hub metaDescription,selected from approved production assets,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/whales,runtime hub metaDescription,no indexable per-image pages,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/world-landmarks,runtime hub metaDescription,selected from approved production assets,remove from public copy,Internal production/indexation language is not useful to visitors.
/coloring-pages/world-landmarks,runtime hub metaDescription,no indexable per-image pages,remove from public copy,Internal production/indexation language is not useful to visitors.
shared component,src/components/coloring/HubPageContent.tsx,rotated on the existing three-day schedule,remove or rewrite after editorial review,Shared user-facing implementation language is repeated site-wide.
shared component,src/components/coloring/HubPageContent.tsx,Choose a printable,remove or rewrite after editorial review,Shared user-facing implementation language is repeated site-wide.
shared component,src/components/coloring/CollectionPageHeader.tsx,Images and titles open printable pages,remove or rewrite after editorial review,Shared user-facing implementation language is repeated site-wide.
shared component,src/components/coloring/CollectionPageHeader.tsx,Print and download actions stay separate,remove or rewrite after editorial review,Shared user-facing implementation language is repeated site-wide.
