hub_id,route,recommendation,consolidation_target,redirect_target,proposed_sitemap_inclusion,activated,rationale,date_reviewed
hub_fantasy_creatures,/coloring-pages/fantasy-creatures,retain and index,,,true,true,direct filename/title evidence: 39.0% of members contain a route-subject token,2026-07-18
hub_fantasy_dragons,/coloring-pages/fantasy-dragons,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_fish,/coloring-pages/fish,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_flowers,/coloring-pages/flowers,retain and index,,,true,true,direct filename/title evidence: 92.5% of members contain a route-subject token,2026-07-18
hub_food,/coloring-pages/food,retain and index,,,true,true,weak filename/title evidence: 1.9% of members contain a route-subject token,2026-07-18
hub_for_kids,/coloring-pages/for-kids,manual editorial review,,,true,false,"The audience route remains useful, but the present inventory is almost identical to Easy and needs future editorial classification evidence.",2026-07-18
hub_forest,/coloring-pages/forest,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_foxes,/coloring-pages/foxes,retain and index,,,true,true,weak filename/title evidence: 10.0% of members contain a route-subject token,2026-07-18
hub_garden,/coloring-pages/garden,retain and index,,,true,true,direct filename/title evidence: 53.8% of members contain a route-subject token,2026-07-18
hub_garden_flowers,/coloring-pages/garden-flowers,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_geometric,/coloring-pages/geometric,retain and index,,,true,true,"Corrected membership now represents a distinct, evidence-backed browsing intent.",2026-07-18
hub_geometric_dogs,/coloring-pages/geometric-dogs,retain and index,,,true,true,direct filename/title evidence: 95.3% of members contain a route-subject token,2026-07-18
hub_giraffes,/coloring-pages/giraffes,retain and index,,,true,true,weak filename/title evidence: 5.3% of members contain a route-subject token,2026-07-18
hub_griffins,/coloring-pages/griffins,retain and index,,,true,true,weak filename/title evidence: 0.0% of members contain a route-subject token,2026-07-18
hub_halloween,/coloring-pages/halloween,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_hedgehogs,/coloring-pages/hedgehogs,retain and index,,,true,true,weak filename/title evidence: 6.7% of members contain a route-subject token,2026-07-18
hub_hippos,/coloring-pages/hippos,retain and index,,,true,true,weak filename/title evidence: 6.3% of members contain a route-subject token,2026-07-18
hub_holidays,/coloring-pages/holidays,retain and index,,,true,true,weak filename/title evidence: 0.0% of members contain a route-subject token,2026-07-18
hub_horses,/coloring-pages/horses,retain and index,,,true,true,weak filename/title evidence: 12.5% of members contain a route-subject token,2026-07-18
hub_houses,/coloring-pages/houses,retain and index,,,true,true,weak filename/title evidence: 1.9% of members contain a route-subject token,2026-07-18
hub_hydras,/coloring-pages/hydras,retain and index,,,true,true,weak filename/title evidence: 0.0% of members contain a route-subject token,2026-07-18
hub_indoor_plants,/coloring-pages/indoor-plants,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_insects,/coloring-pages/insects,retain and index,,,true,true,direct filename/title evidence: 77.1% of members contain a route-subject token,2026-07-18
hub_kawaii,/coloring-pages/kawaii,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_knights,/coloring-pages/knights,retain and index,,,true,true,weak filename/title evidence: 7.7% of members contain a route-subject token,2026-07-18
hub_koalas,/coloring-pages/koalas,retain and index,,,true,true,weak filename/title evidence: 4.5% of members contain a route-subject token,2026-07-18
hub_lions,/coloring-pages/lions,retain and index,,,true,true,weak filename/title evidence: 18.8% of members contain a route-subject token,2026-07-18
hub_lizards,/coloring-pages/lizards,retain and index,,,true,true,weak filename/title evidence: 3.1% of members contain a route-subject token,2026-07-18
hub_llamas,/coloring-pages/llamas,retain and index,,,true,true,weak filename/title evidence: 6.7% of members contain a route-subject token,2026-07-18
hub_mammoths,/coloring-pages/mammoths,retain and index,,,true,true,weak filename/title evidence: 0.0% of members contain a route-subject token,2026-07-18
hub_mandalas,/coloring-pages/mandalas,retain and index,,,true,true,"Corrected membership now represents a distinct, evidence-backed browsing intent.",2026-07-18
hub_medieval_fantasy,/coloring-pages/medieval-fantasy,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_megalodon,/coloring-pages/megalodon,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_mermaids,/coloring-pages/mermaids,retain and index,,,true,true,weak filename/title evidence: 0.0% of members contain a route-subject token,2026-07-18
hub_monkeys,/coloring-pages/monkeys,retain and index,,,true,true,weak filename/title evidence: 7.1% of members contain a route-subject token,2026-07-18
hub_moose,/coloring-pages/moose,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_mushrooms,/coloring-pages/mushrooms,retain and index,,,true,true,weak filename/title evidence: 2.8% of members contain a route-subject token,2026-07-18
hub_mythology,/coloring-pages/mythology,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_ocean,/coloring-pages/ocean,retain and index,,,true,true,weak filename/title evidence: 6.5% of members contain a route-subject token,2026-07-18
hub_octopus,/coloring-pages/octopus,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_otters,/coloring-pages/otters,retain and index,,,true,true,weak filename/title evidence: 0.0% of members contain a route-subject token,2026-07-18
hub_owls,/coloring-pages/owls,retain and index,,,true,true,weak filename/title evidence: 10.7% of members contain a route-subject token,2026-07-18
hub_pandas,/coloring-pages/pandas,retain and index,,,true,true,weak filename/title evidence: 6.7% of members contain a route-subject token,2026-07-18
hub_pegasus,/coloring-pages/pegasus,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_penguins,/coloring-pages/penguins,retain and index,,,true,true,weak filename/title evidence: 15.0% of members contain a route-subject token,2026-07-18
hub_phoenix,/coloring-pages/phoenix,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_planes,/coloring-pages/planes,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_plants,/coloring-pages/plants,retain and index,,,true,true,weak filename/title evidence: 21.8% of members contain a route-subject token,2026-07-18
hub_playing_cards,/coloring-pages/playing-cards,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_plushie_animals,/coloring-pages/plushie-animals,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_plushie_cats,/coloring-pages/plushie-cats,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_plushie_dogs,/coloring-pages/plushie-dogs,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_plushie_dragons,/coloring-pages/plushie-dragons,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_plushie_triceratops,/coloring-pages/plushie-triceratops,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_plushie_unicorns,/coloring-pages/plushie-unicorns,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_plushie_whales,/coloring-pages/plushie-whales,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_plushies,/coloring-pages/plushies,retain and index,,,true,true,weak filename/title evidence: 9.3% of members contain a route-subject token,2026-07-18
hub_prehistoric_animals,/coloring-pages/prehistoric-animals,retain and index,,,true,true,"The broader hub adds 31 extinct-animal records, including mammoths and saber-toothed tigers.",2026-07-18
hub_pumpkins,/coloring-pages/pumpkins,retain and index,,,true,true,weak filename/title evidence: 21.7% of members contain a route-subject token,2026-07-18
hub_rabbits,/coloring-pages/rabbits,retain and index,,,true,true,weak filename/title evidence: 13.6% of members contain a route-subject token,2026-07-18
hub_reindeer,/coloring-pages/reindeer,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_reptiles,/coloring-pages/reptiles,retain and index,,,true,true,direct filename/title evidence: 62.8% of members contain a route-subject token,2026-07-18
hub_robots,/coloring-pages/robots,retain and index,,,true,true,All nine records have direct robot subject evidence.,2026-07-18
hub_roses,/coloring-pages/roses,retain and index,,,true,true,"All nine records have direct rose subject evidence, including stylized and origami forms.",2026-07-18
hub_santa,/coloring-pages/santa,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_sea_life,/coloring-pages/sea-life,retain and index,,,true,true,direct filename/title evidence: 61.9% of members contain a route-subject token,2026-07-18
hub_sharks,/coloring-pages/sharks,retain and index,,,true,true,weak filename/title evidence: 0.0% of members contain a route-subject token,2026-07-18
hub_sheep,/coloring-pages/sheep,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_sloths,/coloring-pages/sloths,retain and index,,,true,true,weak filename/title evidence: 7.1% of members contain a route-subject token,2026-07-18
hub_snakes,/coloring-pages/snakes,retain and index,,,true,true,weak filename/title evidence: 11.1% of members contain a route-subject token,2026-07-18
hub_spiders,/coloring-pages/spiders,retain and index,,,true,true,weak filename/title evidence: 3.6% of members contain a route-subject token,2026-07-18
hub_st_patricks_day,/coloring-pages/st-patricks-day,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_stegosaurus,/coloring-pages/stegosaurus,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_sushi,/coloring-pages/sushi,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_t_rex,/coloring-pages/t-rex,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_tigers,/coloring-pages/tigers,retain and index,,,true,true,weak filename/title evidence: 4.7% of members contain a route-subject token,2026-07-18
hub_trains,/coloring-pages/trains,retain and index,,,true,true,direct filename/title evidence: 97.1% of members contain a route-subject token,2026-07-18
hub_trees,/coloring-pages/trees,retain and index,,,true,true,weak filename/title evidence: 2.6% of members contain a route-subject token,2026-07-18
hub_triceratops,/coloring-pages/triceratops,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_turtles,/coloring-pages/turtles,retain and index,,,true,true,weak filename/title evidence: 4.5% of members contain a route-subject token,2026-07-18
hub_unicorns,/coloring-pages/unicorns,retain and index,,,true,true,weak filename/title evidence: 5.3% of members contain a route-subject token,2026-07-18
hub_vehicles,/coloring-pages/vehicles,retain and index,,,true,true,weak filename/title evidence: 0.0% of members contain a route-subject token,2026-07-18
hub_velociraptors,/coloring-pages/velociraptors,retain and index,,,true,true,weak filename/title evidence: 4.5% of members contain a route-subject token,2026-07-18
hub_whales,/coloring-pages/whales,retain and index,,,true,true,weak filename/title evidence: 2.5% of members contain a route-subject token,2026-07-18
hub_witches,/coloring-pages/witches,retain and index,,,true,true,weak filename/title evidence: 6.3% of members contain a route-subject token,2026-07-18
hub_wizards,/coloring-pages/wizards,retain and index,,,true,true,weak filename/title evidence: 0.0% of members contain a route-subject token,2026-07-18
hub_wolves,/coloring-pages/wolves,retain and index,,,true,true,weak filename/title evidence: 4.4% of members contain a route-subject token,2026-07-18
hub_world_landmarks,/coloring-pages/world-landmarks,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_wyverns,/coloring-pages/wyverns,retain and index,,,true,true,weak filename/title evidence: 0.0% of members contain a route-subject token,2026-07-18
hub_zebras,/coloring-pages/zebras,retain and index,,,true,true,weak filename/title evidence: 5.3% of members contain a route-subject token,2026-07-18
hub_dodo,/coloring-pages/dodo,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_bamboo,/coloring-pages/bamboo,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_steam_train,/coloring-pages/steam-train,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_birthday_celebration,/coloring-pages/birthday-celebration,retain publicly but noindex,hub_birthday,,false,true,"All 190 records already belong to Birthday; the variant contributes no unique printable and remains available as a crawlable, self-canonical public URL.",2026-07-18
hub_christmas_plushie,/coloring-pages/christmas-plushie,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_halloween_costume,/coloring-pages/halloween-costume,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_summoning,/coloring-pages/summoning,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_terrier,/coloring-pages/terrier,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_woolly_mammoth,/coloring-pages/woolly-mammoth,retain publicly but noindex,hub_mammoths,,false,true,"All 19 records already belong to Mammoths; the singular variant contributes no unique printable and remains available as a crawlable, self-canonical public URL.",2026-07-18
hub_saber_toothed_tiger,/coloring-pages/saber-toothed-tiger,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_magic,/coloring-pages/magic,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_ankylosaurus,/coloring-pages/ankylosaurus,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_trick_or_treat,/coloring-pages/trick-or-treat,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_lily,/coloring-pages/lily,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_forget_me_not,/coloring-pages/forget-me-not,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_mosasaurus,/coloring-pages/mosasaurus,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_plesiosaurus,/coloring-pages/plesiosaurus,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_pterodactyl,/coloring-pages/pterodactyl,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_iguanodon,/coloring-pages/iguanodon,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_bulldog,/coloring-pages/bulldog,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_collie,/coloring-pages/collie,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_cookie,/coloring-pages/cookie,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_daisy,/coloring-pages/daisy,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_pteranodon,/coloring-pages/pteranodon,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_nigiri,/coloring-pages/nigiri,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_orchid,/coloring-pages/orchid,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_poppy,/coloring-pages/poppy,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_lotus,/coloring-pages/lotus,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_palm,/coloring-pages/palm,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_leprechaun,/coloring-pages/leprechaun,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_salmon,/coloring-pages/salmon,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
hub_gingerbread,/coloring-pages/gingerbread,retain and index,,,true,true,direct filename/title evidence: 100.0% of members contain a route-subject token,2026-07-18
