asset_id,route,title,primary_hub_id,field,candidate_value,state,confidence,provenance,decision,decision_value,reviewer,reviewed_on,rationale
anime-girls__anime-girl-kitten-hoodie-plushie-climbing-tree__8ff8b1a04a,/printables/animals/anime-girl-kitten-hoodie-plushie-climbing-tree-8ff8b1a04a,Anime Girl Kitten Hoodie Plushie Climbing Tree,hub_animals,audienceClassification,Coloring Pages for Kids,C. VISUAL OR EDITORIAL REVIEW REQUIRED,manual editorial judgment required,explicit_collection_assignment,pending,,,,Collection membership does not establish an age or audience claim; editorial and policy review is required.
anime-girls__anime-girl-kitten-hoodie-plushie-climbing-tree-smiling__5677e16222,/printables/animals/anime-girl-kitten-hoodie-plushie-climbing-tree-smiling-5677e16222,Anime Girl Kitten Hoodie Plushie Climbing Tree Smiling,hub_animals,audienceClassification,Coloring Pages for Kids,C. VISUAL OR EDITORIAL REVIEW REQUIRED,manual editorial judgment required,explicit_collection_assignment,pending,,,,Collection membership does not establish an age or audience claim; editorial and policy review is required.
anime-girls__anime-girl-kitten-hoodie-plushie-sitting-on-tree__6276a752d3,/printables/animals/anime-girl-kitten-hoodie-plushie-sitting-on-tree-6276a752d3,Anime Girl Kitten Hoodie Plushie Sitting On Tree,hub_animals,audienceClassification,Coloring Pages for Kids,C. VISUAL OR EDITORIAL REVIEW REQUIRED,manual editorial judgment required,explicit_collection_assignment,pending,,,,Collection membership does not establish an age or audience claim; editorial and policy review is required.
anime-girls__anime-girl-summoning-cute-heart-plushies__eb52e2276f,/printables/anime-girls/anime-girl-summoning-cute-heart-plushies-eb52e2276f,Anime Girl Summoning Cute Heart Plushies,hub_anime_girls,audienceClassification,Coloring Pages for Kids,C. VISUAL OR EDITORIAL REVIEW REQUIRED,manual editorial judgment required,explicit_collection_assignment,pending,,,,Collection membership does not establish an age or audience claim; editorial and policy review is required.
anime-girls__anime-girl-summoning-cute-heart-plushies__eb52e2276f,/printables/anime-girls/anime-girl-summoning-cute-heart-plushies-eb52e2276f,Anime Girl Summoning Cute Heart Plushies,hub_anime_girls,detailClassification,Easy,B. RULE-BASED REVIEWABLE,reviewable rule candidate,explicit_collection_assignment,pending,,,,Collection membership can suggest a detail label but does not establish it as public metadata.
anime-girls__anime-girl-summoning-cute-hearts__2cdbd95749,/printables/anime-girls/anime-girl-summoning-cute-hearts-2cdbd95749,Anime Girl Summoning Cute Hearts,hub_anime_girls,audienceClassification,Coloring Pages for Kids,C. VISUAL OR EDITORIAL REVIEW REQUIRED,manual editorial judgment required,explicit_collection_assignment,pending,,,,Collection membership does not establish an age or audience claim; editorial and policy review is required.
anime-girls__anime-girl-summoning-cute-hearts__2cdbd95749,/printables/anime-girls/anime-girl-summoning-cute-hearts-2cdbd95749,Anime Girl Summoning Cute Hearts,hub_anime_girls,detailClassification,Easy,B. RULE-BASED REVIEWABLE,reviewable rule candidate,explicit_collection_assignment,pending,,,,Collection membership can suggest a detail label but does not establish it as public metadata.
anime-girls__anime-girl-summoning-jutsu-cute-dinosaur-plushies__e958c58eca,/printables/animals/anime-girl-summoning-jutsu-cute-dinosaur-plushies-e958c58eca,Anime Girl Summoning Jutsu Cute Dinosaur Plushies,hub_animals,audienceClassification,Coloring Pages for Kids,C. VISUAL OR EDITORIAL REVIEW REQUIRED,manual editorial judgment required,explicit_collection_assignment,pending,,,,Collection membership does not establish an age or audience claim; editorial and policy review is required.
anime-girls__anime-girl-summoning-jutsu-cute-dinosaur-plushies__e958c58eca,/printables/animals/anime-girl-summoning-jutsu-cute-dinosaur-plushies-e958c58eca,Anime Girl Summoning Jutsu Cute Dinosaur Plushies,hub_animals,detailClassification,Easy,B. RULE-BASED REVIEWABLE,reviewable rule candidate,explicit_collection_assignment,pending,,,,Collection membership can suggest a detail label but does not establish it as public metadata.
anime-girls__anime-girl-summoning-jutsu-cute-dragon-plushies__3f2c634dbf,/printables/anime-girls/anime-girl-summoning-jutsu-cute-dragon-plushies-3f2c634dbf,Anime Girl Summoning Jutsu Cute Dragon Plushies,hub_anime_girls,audienceClassification,Coloring Pages for Kids,C. VISUAL OR EDITORIAL REVIEW REQUIRED,manual editorial judgment required,explicit_collection_assignment,pending,,,,Collection membership does not establish an age or audience claim; editorial and policy review is required.
anime-girls__anime-girl-summoning-jutsu-cute-dragon-plushies__3f2c634dbf,/printables/anime-girls/anime-girl-summoning-jutsu-cute-dragon-plushies-3f2c634dbf,Anime Girl Summoning Jutsu Cute Dragon Plushies,hub_anime_girls,detailClassification,Easy,B. RULE-BASED REVIEWABLE,reviewable rule candidate,explicit_collection_assignment,pending,,,,Collection membership can suggest a detail label but does not establish it as public metadata.
anime-girls__anime-girl-summoning-jutsu-cute-giraffe-plushies__c29b50e685,/printables/anime-girls/anime-girl-summoning-jutsu-cute-giraffe-plushies-c29b50e685,Anime Girl Summoning Jutsu Cute Giraffe Plushies,hub_anime_girls,audienceClassification,Coloring Pages for Kids,C. VISUAL OR EDITORIAL REVIEW REQUIRED,manual editorial judgment required,explicit_collection_assignment,pending,,,,Collection membership does not establish an age or audience claim; editorial and policy review is required.
anime-girls__anime-girl-summoning-jutsu-cute-giraffe-plushies__c29b50e685,/printables/anime-girls/anime-girl-summoning-jutsu-cute-giraffe-plushies-c29b50e685,Anime Girl Summoning Jutsu Cute Giraffe Plushies,hub_anime_girls,detailClassification,Easy,B. RULE-BASED REVIEWABLE,reviewable rule candidate,explicit_collection_assignment,pending,,,,Collection membership can suggest a detail label but does not establish it as public metadata.
anime-girls__anime-girl-summoning-jutsu-cute-horned-dragon-plushies__ab40243ff4,/printables/anime-girls/anime-girl-summoning-jutsu-cute-horned-dragon-plushies-ab40243ff4,Anime Girl Summoning Jutsu Cute Horned Dragon Plushies,hub_anime_girls,audienceClassification,Coloring Pages for Kids,C. VISUAL OR EDITORIAL REVIEW REQUIRED,manual editorial judgment required,explicit_collection_assignment,pending,,,,Collection membership does not establish an age or audience claim; editorial and policy review is required.
anime-girls__anime-girl-summoning-jutsu-cute-horned-dragon-plushies__ab40243ff4,/printables/anime-girls/anime-girl-summoning-jutsu-cute-horned-dragon-plushies-ab40243ff4,Anime Girl Summoning Jutsu Cute Horned Dragon Plushies,hub_anime_girls,detailClassification,Easy,B. RULE-BASED REVIEWABLE,reviewable rule candidate,explicit_collection_assignment,pending,,,,Collection membership can suggest a detail label but does not establish it as public metadata.
anime-girls__anime-girl-summoning-jutsu-kitten-plushies__7f5d5f20d2,/printables/animals/anime-girl-summoning-jutsu-kitten-plushies-7f5d5f20d2,Anime Girl Summoning Jutsu Kitten Plushies,hub_animals,audienceClassification,Coloring Pages for Kids,C. VISUAL OR EDITORIAL REVIEW REQUIRED,manual editorial judgment required,explicit_collection_assignment,pending,,,,Collection membership does not establish an age or audience claim; editorial and policy review is required.
anime-girls__anime-girl-summoning-jutsu-kittens__edc9b109fa,/printables/animals/anime-girl-summoning-jutsu-kittens-edc9b109fa,Anime Girl Summoning Jutsu Kittens,hub_animals,audienceClassification,Coloring Pages for Kids,C. VISUAL OR EDITORIAL REVIEW REQUIRED,manual editorial judgment required,explicit_collection_assignment,pending,,,,Collection membership does not establish an age or audience claim; editorial and policy review is required.
anime-girls__anime-girl-summoning-jutsu-kittens-sitting-on-tree__8caa305aa0,/printables/animals/anime-girl-summoning-jutsu-kittens-sitting-on-tree-8caa305aa0,Anime Girl Summoning Jutsu Kittens Sitting On Tree,hub_animals,audienceClassification,Coloring Pages for Kids,C. VISUAL OR EDITORIAL REVIEW REQUIRED,manual editorial judgment required,explicit_collection_assignment,pending,,,,Collection membership does not establish an age or audience claim; editorial and policy review is required.
anime-girls__anime-girl-summoning-jutsu-prehistoric-kitty__23c8d42eb9,/printables/animals/anime-girl-summoning-jutsu-prehistoric-kitty-23c8d42eb9,Anime Girl Summoning Jutsu Prehistoric Kitty,hub_animals,audienceClassification,Coloring Pages for Kids,C. VISUAL OR EDITORIAL REVIEW REQUIRED,manual editorial judgment required,explicit_collection_assignment,pending,,,,Collection membership does not establish an age or audience claim; editorial and policy review is required.
anime-girls__anime-girl-summoning-jutsu-prehistoric-kitty-plushies__7079e5bd61,/printables/animals/anime-girl-summoning-jutsu-prehistoric-kitty-plushies-7079e5bd61,Anime Girl Summoning Jutsu Prehistoric Kitty Plushies,hub_animals,audienceClassification,Coloring Pages for Kids,C. VISUAL OR EDITORIAL REVIEW REQUIRED,manual editorial judgment required,explicit_collection_assignment,pending,,,,Collection membership does not establish an age or audience claim; editorial and policy review is required.
anime-girls__anime-girl-summoning-jutsu-woolly-mammoth-kawaii-plushies__06dda78301,/printables/animals/anime-girl-summoning-jutsu-woolly-mammoth-kawaii-plushies-06dda78301,Anime Girl Summoning Jutsu Woolly Mammoth Kawaii Plushies,hub_animals,audienceClassification,Coloring Pages for Kids,C. VISUAL OR EDITORIAL REVIEW REQUIRED,manual editorial judgment required,explicit_collection_assignment,pending,,,,Collection membership does not establish an age or audience claim; editorial and policy review is required.
anime-girls__anime-girl-summoning-jutsu-woolly-mammoth-kawaii-plushies__06dda78301,/printables/animals/anime-girl-summoning-jutsu-woolly-mammoth-kawaii-plushies-06dda78301,Anime Girl Summoning Jutsu Woolly Mammoth Kawaii Plushies,hub_animals,detailClassification,Easy,B. RULE-BASED REVIEWABLE,reviewable rule candidate,explicit_collection_assignment,pending,,,,Collection membership can suggest a detail label but does not establish it as public metadata.
anime-girls__anime-girl-teddy-bear-outfit-kawaii__6746a30a00,/printables/anime-girls/anime-girl-teddy-bear-outfit-kawaii-6746a30a00,Anime Girl Teddy Bear Outfit Kawaii,hub_anime_girls,audienceClassification,Coloring Pages for Kids,C. VISUAL OR EDITORIAL REVIEW REQUIRED,manual editorial judgment required,explicit_collection_assignment,pending,,,,Collection membership does not establish an age or audience claim; editorial and policy review is required.
anime-girls__anime-girl-teddy-bear-outfit-kawaii__6746a30a00,/printables/anime-girls/anime-girl-teddy-bear-outfit-kawaii-6746a30a00,Anime Girl Teddy Bear Outfit Kawaii,hub_anime_girls,detailClassification,Easy,B. RULE-BASED REVIEWABLE,reviewable rule candidate,explicit_collection_assignment,pending,,,,Collection membership can suggest a detail label but does not establish it as public metadata.
chibi__chibi-african-dragon__ebdfccdd0d,/printables/chibi/chibi-african-dragon-ebdfccdd0d,Chibi African Dragon,hub_chibi,audienceClassification,Coloring Pages for Kids,C. VISUAL OR EDITORIAL REVIEW REQUIRED,manual editorial judgment required,explicit_collection_assignment,pending,,,,Collection membership does not establish an age or audience claim; editorial and policy review is required.
chibi__chibi-african-dragon__ebdfccdd0d,/printables/chibi/chibi-african-dragon-ebdfccdd0d,Chibi African Dragon,hub_chibi,detailClassification,Easy,B. RULE-BASED REVIEWABLE,reviewable rule candidate,explicit_collection_assignment,pending,,,,Collection membership can suggest a detail label but does not establish it as public metadata.
chibi__chibi-air-dragon__28195417f8,/printables/chibi/chibi-air-dragon-28195417f8,Chibi Air Dragon,hub_chibi,audienceClassification,Coloring Pages for Kids,C. VISUAL OR EDITORIAL REVIEW REQUIRED,manual editorial judgment required,explicit_collection_assignment,pending,,,,Collection membership does not establish an age or audience claim; editorial and policy review is required.
chibi__chibi-air-dragon__28195417f8,/printables/chibi/chibi-air-dragon-28195417f8,Chibi Air Dragon,hub_chibi,detailClassification,Easy,B. RULE-BASED REVIEWABLE,reviewable rule candidate,explicit_collection_assignment,pending,,,,Collection membership can suggest a detail label but does not establish it as public metadata.
chibi__chibi-amphithere-dragon__b7962a14d1,/printables/chibi/chibi-amphithere-dragon-b7962a14d1,Chibi Amphithere Dragon,hub_chibi,audienceClassification,Coloring Pages for Kids,C. VISUAL OR EDITORIAL REVIEW REQUIRED,manual editorial judgment required,explicit_collection_assignment,pending,,,,Collection membership does not establish an age or audience claim; editorial and policy review is required.
chibi__chibi-amphithere-dragon__b7962a14d1,/printables/chibi/chibi-amphithere-dragon-b7962a14d1,Chibi Amphithere Dragon,hub_chibi,detailClassification,Easy,B. RULE-BASED REVIEWABLE,reviewable rule candidate,explicit_collection_assignment,pending,,,,Collection membership can suggest a detail label but does not establish it as public metadata.
chibi__chibi-animals-pets-dogs-afghan-hound__d9a83b6ec9,/printables/animals/chibi-animals-pets-dogs-afghan-hound-d9a83b6ec9,Chibi Animals Pets Dogs Afghan Hound,hub_animals,audienceClassification,Coloring Pages for Kids,C. VISUAL OR EDITORIAL REVIEW REQUIRED,manual editorial judgment required,explicit_collection_assignment,pending,,,,Collection membership does not establish an age or audience claim; editorial and policy review is required.
chibi__chibi-animals-pets-dogs-afghan-hound__d9a83b6ec9,/printables/animals/chibi-animals-pets-dogs-afghan-hound-d9a83b6ec9,Chibi Animals Pets Dogs Afghan Hound,hub_animals,detailClassification,Easy,B. RULE-BASED REVIEWABLE,reviewable rule candidate,explicit_collection_assignment,pending,,,,Collection membership can suggest a detail label but does not establish it as public metadata.
chibi__chibi-animals-pets-dogs-akita__202daa2ad3,/printables/animals/chibi-animals-pets-dogs-akita-202daa2ad3,Chibi Animals Pets Dogs Akita,hub_animals,audienceClassification,Coloring Pages for Kids,C. VISUAL OR EDITORIAL REVIEW REQUIRED,manual editorial judgment required,explicit_collection_assignment,pending,,,,Collection membership does not establish an age or audience claim; editorial and policy review is required.
chibi__chibi-animals-pets-dogs-akita__202daa2ad3,/printables/animals/chibi-animals-pets-dogs-akita-202daa2ad3,Chibi Animals Pets Dogs Akita,hub_animals,detailClassification,Easy,B. RULE-BASED REVIEWABLE,reviewable rule candidate,explicit_collection_assignment,pending,,,,Collection membership can suggest a detail label but does not establish it as public metadata.
chibi__chibi-animals-pets-dogs-alaskan-malamute__17a510678c,/printables/animals/chibi-animals-pets-dogs-alaskan-malamute-17a510678c,Chibi Animals Pets Dogs Alaskan Malamute,hub_animals,audienceClassification,Coloring Pages for Kids,C. VISUAL OR EDITORIAL REVIEW REQUIRED,manual editorial judgment required,explicit_collection_assignment,pending,,,,Collection membership does not establish an age or audience claim; editorial and policy review is required.
chibi__chibi-animals-pets-dogs-alaskan-malamute__17a510678c,/printables/animals/chibi-animals-pets-dogs-alaskan-malamute-17a510678c,Chibi Animals Pets Dogs Alaskan Malamute,hub_animals,detailClassification,Easy,B. RULE-BASED REVIEWABLE,reviewable rule candidate,explicit_collection_assignment,pending,,,,Collection membership can suggest a detail label but does not establish it as public metadata.
chibi__chibi-animals-pets-dogs-american-staffordshire-terrier__0d5f95f4f2,/printables/animals/chibi-animals-pets-dogs-american-staffordshire-terrier-0d5f95f4f2,Chibi Animals Pets Dogs American Staffordshire Terrier,hub_animals,audienceClassification,Coloring Pages for Kids,C. VISUAL OR EDITORIAL REVIEW REQUIRED,manual editorial judgment required,explicit_collection_assignment,pending,,,,Collection membership does not establish an age or audience claim; editorial and policy review is required.
chibi__chibi-animals-pets-dogs-american-staffordshire-terrier__0d5f95f4f2,/printables/animals/chibi-animals-pets-dogs-american-staffordshire-terrier-0d5f95f4f2,Chibi Animals Pets Dogs American Staffordshire Terrier,hub_animals,detailClassification,Easy,B. RULE-BASED REVIEWABLE,reviewable rule candidate,explicit_collection_assignment,pending,,,,Collection membership can suggest a detail label but does not establish it as public metadata.
chibi__chibi-animals-pets-dogs-anatolian-shepherd-dog__c82c00bae3,/printables/animals/chibi-animals-pets-dogs-anatolian-shepherd-dog-c82c00bae3,Chibi Animals Pets Dogs Anatolian Shepherd Dog,hub_animals,audienceClassification,Coloring Pages for Kids,C. VISUAL OR EDITORIAL REVIEW REQUIRED,manual editorial judgment required,explicit_collection_assignment,pending,,,,Collection membership does not establish an age or audience claim; editorial and policy review is required.
chibi__chibi-animals-pets-dogs-anatolian-shepherd-dog__c82c00bae3,/printables/animals/chibi-animals-pets-dogs-anatolian-shepherd-dog-c82c00bae3,Chibi Animals Pets Dogs Anatolian Shepherd Dog,hub_animals,detailClassification,Easy,B. RULE-BASED REVIEWABLE,reviewable rule candidate,explicit_collection_assignment,pending,,,,Collection membership can suggest a detail label but does not establish it as public metadata.
chibi__chibi-animals-pets-dogs-australian-cattle-dog__9f36356469,/printables/animals/chibi-animals-pets-dogs-australian-cattle-dog-9f36356469,Chibi Animals Pets Dogs Australian Cattle Dog,hub_animals,audienceClassification,Coloring Pages for Kids,C. VISUAL OR EDITORIAL REVIEW REQUIRED,manual editorial judgment required,explicit_collection_assignment,pending,,,,Collection membership does not establish an age or audience claim; editorial and policy review is required.
chibi__chibi-animals-pets-dogs-australian-cattle-dog__9f36356469,/printables/animals/chibi-animals-pets-dogs-australian-cattle-dog-9f36356469,Chibi Animals Pets Dogs Australian Cattle Dog,hub_animals,detailClassification,Easy,B. RULE-BASED REVIEWABLE,reviewable rule candidate,explicit_collection_assignment,pending,,,,Collection membership can suggest a detail label but does not establish it as public metadata.
chibi__chibi-animals-pets-dogs-australian-shepherd__30c890a81e,/printables/animals/chibi-animals-pets-dogs-australian-shepherd-30c890a81e,Chibi Animals Pets Dogs Australian Shepherd,hub_animals,audienceClassification,Coloring Pages for Kids,C. VISUAL OR EDITORIAL REVIEW REQUIRED,manual editorial judgment required,explicit_collection_assignment,pending,,,,Collection membership does not establish an age or audience claim; editorial and policy review is required.
chibi__chibi-animals-pets-dogs-australian-shepherd__30c890a81e,/printables/animals/chibi-animals-pets-dogs-australian-shepherd-30c890a81e,Chibi Animals Pets Dogs Australian Shepherd,hub_animals,detailClassification,Easy,B. RULE-BASED REVIEWABLE,reviewable rule candidate,explicit_collection_assignment,pending,,,,Collection membership can suggest a detail label but does not establish it as public metadata.
chibi__chibi-animals-pets-dogs-basenji__b3df50ea92,/printables/animals/chibi-animals-pets-dogs-basenji-b3df50ea92,Chibi Animals Pets Dogs Basenji,hub_animals,audienceClassification,Coloring Pages for Kids,C. VISUAL OR EDITORIAL REVIEW REQUIRED,manual editorial judgment required,explicit_collection_assignment,pending,,,,Collection membership does not establish an age or audience claim; editorial and policy review is required.
chibi__chibi-animals-pets-dogs-basenji__b3df50ea92,/printables/animals/chibi-animals-pets-dogs-basenji-b3df50ea92,Chibi Animals Pets Dogs Basenji,hub_animals,detailClassification,Easy,B. RULE-BASED REVIEWABLE,reviewable rule candidate,explicit_collection_assignment,pending,,,,Collection membership can suggest a detail label but does not establish it as public metadata.
chibi__chibi-animals-pets-dogs-beagle__66a9b9dc9e,/printables/animals/chibi-animals-pets-dogs-beagle-66a9b9dc9e,Chibi Animals Pets Dogs Beagle,hub_animals,audienceClassification,Coloring Pages for Kids,C. VISUAL OR EDITORIAL REVIEW REQUIRED,manual editorial judgment required,explicit_collection_assignment,pending,,,,Collection membership does not establish an age or audience claim; editorial and policy review is required.
chibi__chibi-animals-pets-dogs-beagle__66a9b9dc9e,/printables/animals/chibi-animals-pets-dogs-beagle-66a9b9dc9e,Chibi Animals Pets Dogs Beagle,hub_animals,detailClassification,Easy,B. RULE-BASED REVIEWABLE,reviewable rule candidate,explicit_collection_assignment,pending,,,,Collection membership can suggest a detail label but does not establish it as public metadata.
chibi__chibi-animals-pets-dogs-belgian-malinois__05d5243abd,/printables/animals/chibi-animals-pets-dogs-belgian-malinois-05d5243abd,Chibi Animals Pets Dogs Belgian Malinois,hub_animals,audienceClassification,Coloring Pages for Kids,C. VISUAL OR EDITORIAL REVIEW REQUIRED,manual editorial judgment required,explicit_collection_assignment,pending,,,,Collection membership does not establish an age or audience claim; editorial and policy review is required.
chibi__chibi-animals-pets-dogs-belgian-malinois__05d5243abd,/printables/animals/chibi-animals-pets-dogs-belgian-malinois-05d5243abd,Chibi Animals Pets Dogs Belgian Malinois,hub_animals,detailClassification,Easy,B. RULE-BASED REVIEWABLE,reviewable rule candidate,explicit_collection_assignment,pending,,,,Collection membership can suggest a detail label but does not establish it as public metadata.
chibi__chibi-animals-pets-dogs-belgian-tervuren__35d5373d78,/printables/animals/chibi-animals-pets-dogs-belgian-tervuren-35d5373d78,Chibi Animals Pets Dogs Belgian Tervuren,hub_animals,audienceClassification,Coloring Pages for Kids,C. VISUAL OR EDITORIAL REVIEW REQUIRED,manual editorial judgment required,explicit_collection_assignment,pending,,,,Collection membership does not establish an age or audience claim; editorial and policy review is required.
chibi__chibi-animals-pets-dogs-belgian-tervuren__35d5373d78,/printables/animals/chibi-animals-pets-dogs-belgian-tervuren-35d5373d78,Chibi Animals Pets Dogs Belgian Tervuren,hub_animals,detailClassification,Easy,B. RULE-BASED REVIEWABLE,reviewable rule candidate,explicit_collection_assignment,pending,,,,Collection membership can suggest a detail label but does not establish it as public metadata.
chibi__chibi-animals-pets-dogs-bernese-mountain-dog__2be9008a10,/printables/animals/chibi-animals-pets-dogs-bernese-mountain-dog-2be9008a10,Chibi Animals Pets Dogs Bernese Mountain Dog,hub_animals,audienceClassification,Coloring Pages for Kids,C. VISUAL OR EDITORIAL REVIEW REQUIRED,manual editorial judgment required,explicit_collection_assignment,pending,,,,Collection membership does not establish an age or audience claim; editorial and policy review is required.
chibi__chibi-animals-pets-dogs-bernese-mountain-dog__2be9008a10,/printables/animals/chibi-animals-pets-dogs-bernese-mountain-dog-2be9008a10,Chibi Animals Pets Dogs Bernese Mountain Dog,hub_animals,detailClassification,Easy,B. RULE-BASED REVIEWABLE,reviewable rule candidate,explicit_collection_assignment,pending,,,,Collection membership can suggest a detail label but does not establish it as public metadata.
chibi__chibi-animals-pets-dogs-bichon-frise__01192dc10b,/printables/animals/chibi-animals-pets-dogs-bichon-frise-01192dc10b,Chibi Animals Pets Dogs Bichon Frise,hub_animals,audienceClassification,Coloring Pages for Kids,C. VISUAL OR EDITORIAL REVIEW REQUIRED,manual editorial judgment required,explicit_collection_assignment,pending,,,,Collection membership does not establish an age or audience claim; editorial and policy review is required.
chibi__chibi-animals-pets-dogs-bichon-frise__01192dc10b,/printables/animals/chibi-animals-pets-dogs-bichon-frise-01192dc10b,Chibi Animals Pets Dogs Bichon Frise,hub_animals,detailClassification,Easy,B. RULE-BASED REVIEWABLE,reviewable rule candidate,explicit_collection_assignment,pending,,,,Collection membership can suggest a detail label but does not establish it as public metadata.
chibi__chibi-animals-pets-dogs-bloodhound__36d4af24b2,/printables/animals/chibi-animals-pets-dogs-bloodhound-36d4af24b2,Chibi Animals Pets Dogs Bloodhound,hub_animals,audienceClassification,Coloring Pages for Kids,C. VISUAL OR EDITORIAL REVIEW REQUIRED,manual editorial judgment required,explicit_collection_assignment,pending,,,,Collection membership does not establish an age or audience claim; editorial and policy review is required.
chibi__chibi-animals-pets-dogs-bloodhound__36d4af24b2,/printables/animals/chibi-animals-pets-dogs-bloodhound-36d4af24b2,Chibi Animals Pets Dogs Bloodhound,hub_animals,detailClassification,Easy,B. RULE-BASED REVIEWABLE,reviewable rule candidate,explicit_collection_assignment,pending,,,,Collection membership can suggest a detail label but does not establish it as public metadata.
chibi__chibi-animals-pets-dogs-border-collie__d66dc03111,/printables/animals/chibi-animals-pets-dogs-border-collie-d66dc03111,Chibi Animals Pets Dogs Border Collie,hub_animals,audienceClassification,Coloring Pages for Kids,C. VISUAL OR EDITORIAL REVIEW REQUIRED,manual editorial judgment required,explicit_collection_assignment,pending,,,,Collection membership does not establish an age or audience claim; editorial and policy review is required.
chibi__chibi-animals-pets-dogs-border-collie__d66dc03111,/printables/animals/chibi-animals-pets-dogs-border-collie-d66dc03111,Chibi Animals Pets Dogs Border Collie,hub_animals,detailClassification,Easy,B. RULE-BASED REVIEWABLE,reviewable rule candidate,explicit_collection_assignment,pending,,,,Collection membership can suggest a detail label but does not establish it as public metadata.
chibi__chibi-animals-pets-dogs-border-terrier__43cfd795ea,/printables/animals/chibi-animals-pets-dogs-border-terrier-43cfd795ea,Chibi Animals Pets Dogs Border Terrier,hub_animals,audienceClassification,Coloring Pages for Kids,C. VISUAL OR EDITORIAL REVIEW REQUIRED,manual editorial judgment required,explicit_collection_assignment,pending,,,,Collection membership does not establish an age or audience claim; editorial and policy review is required.
